StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID26,Q1,Q2,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q12_1,Q12_2,Q13_1,Q14_1,Q15_1,Q16_1,Q16_2,Q17_1,Q17_2,Q18_1,Q19_1,Q22_1,Q22_2,Q22_3,Q22_4,SC0,QID26 - Sentiment,QID26 - Sentiment Score,QID26 - Sentiment Polarity,QID26 - Topic Sentiment Label,QID26 - Topic Sentiment Score,QID26 - Topics,QID26 - Parent Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,UNI,Age,Gender,Lifestyle Evaluation - I have someone to talk about things that are important to me,Lifestyle Evaluation - I give and receive affection,Lifestyle Evaluation - I eat balanced diet (see explaination),Lifestyle Evaluation - I sleep well and feel rested,Lifestyle Evaluation - I use seatbelts,Lifestyle Evaluation - I am able to cope with the stresses in my life,Lifestyle Evaluation - I relax and enjoy leisure time,Lifestyle Evaluation - I am a postive or optimistic thinker,Lifestyle Evaluation - I am satisified with my job or role,Lifestyle Evaluation - I practice safe sex (see explanation),"Q12 - I am Vigorously active for at least 30min per day e.g. running, cycling, etc.","Q12 - I am Moderately active ( gardening, climbing stairs, walking, housework )","Q13 - I often eat excess 1 sugar, or 2 salt, or 3 animal fats, or 4 junk foods",Q14 - I am within ____ kg of my healthy weight,Q15 - I smoke tobacco,Q16 - I use drugs such as cocaine,Q16 - I drive after drinking,Q17 - I overuse prescribed or over the counter drugs,Q17 - I drink more than four drinks on an occasion,"Q18 - I drink coffeine-containing coffee,tea, or cola",Q19 - My average alcohol intake per week is ___ (see explanation ),Q22 - I seem to be in hurry,Q22 - I feel angry or hostile,Q22 - I feel tense or uptight,Q22 - I feel sad or depressed,Score,QID26 - Sentiment,QID26 - Sentiment Score,QID26 - Sentiment Polarity,QID26 - Topic Sentiment Label,QID26 - Topic Sentiment Score,QID26 - Topics,QID26 - Parent Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID23_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_4""}","{""ImportId"":""SC_6DUhMCWHmjAKXY1""}","{""ImportId"":""QID26_TEXT_e86faeac48f447eca914b5c2Sentiment""}","{""ImportId"":""QID26_TEXT_e86faeac48f447eca914b5c2SenScore""}","{""ImportId"":""QID26_TEXT_e86faeac48f447eca914b5c2SenPol""}","{""ImportId"":""QID26_TEXT_e86faeac48f447eca914b5c2TopicSenLabel""}","{""ImportId"":""QID26_TEXT_e86faeac48f447eca914b5c2TopicSenScore""}","{""ImportId"":""QID26_TEXT_e86faeac48f447eca914b5c2Topics""}","{""ImportId"":""QID26_TEXT_e86faeac48f447eca914b5c2ParTopics""}"
2020-06-16 17:25:55,2020-06-16 17:28:16,0,1.226.137.16,100,141,1,2020-06-16 17:28:17,R_2TBDHFShs1AGJHn,,,,,37.5984954833984375,126.978302001953125,anonymous,EN,Lk2817,27,1,5,4,5,5,4,4,5,3,2,5,3,3,4,4,5,2,2,5,5,5,5,4,4,4,3,81,Neutral,0,0,,,Unknown,
2020-06-16 20:13:37,2020-06-16 20:18:04,0,158.222.192.232,100,266,1,2020-06-16 20:18:04,R_1LLGZUBMnpgHUkX,,,,,40.8231048583984375,-73.95130157470703125,anonymous,EN,zz2641,26,2,4,3,3,3,2,3,3,2,3,5,2,3,3,4,5,2,2,5,5,4,5,3,4,3,3,65,Negative,-1,0,,,Unknown,
2020-06-16 22:45:53,2020-06-16 23:31:25,0,27.122.57.46,100,2732,1,2020-06-16 23:31:25,R_3HofZjmr0kN1ryo,,,,,22.25,114.16668701171875,anonymous,EN,ad3671,24,1,4,3,5,3,5,4,4,3,3,4,3,3,4,4,2,2,2,5,4,3,5,5,3,3,3,70,Positive,1,0,,,Unknown,
2020-06-17 00:54:02,2020-06-17 00:57:53,0,27.125.141.75,100,230,1,2020-06-17 00:57:54,R_8k2ebcW7y4V712p,,,,,1.3218994140625,103.7965087890625,anonymous,EN,xql2001,26,2,2,3,1,4,5,2,3,2,1,3,1,1,3,5,5,2,2,5,4,4,5,2,4,2,1,53,Positive,1,0,,,Unknown,
2020-06-17 08:14:30,2020-06-17 08:19:05,0,70.171.41.124,100,275,1,2020-06-17 08:19:05,R_1r2Eql7YN9en3nj,,,,,29.613800048828125,-82.3860015869140625,anonymous,EN,zm2305,23,1,4,4,4,4,5,4,4,3,3,4,4,5,3,1,5,2,2,5,5,5,5,2,2,2,3,71,Neutral,0,0,,,Unknown,
2020-06-17 12:23:00,2020-06-17 12:28:08,0,71.105.38.119,100,307,1,2020-06-17 12:28:08,R_2AMyPgHvSWoL6Pq,,,,,40.70989990234375,-73.95909881591796875,anonymous,EN,hty2104,,1,5,5,3,3,5,4,5,4,4,5,1,5,4,5,5,2,2,5,5,4,5,3,4,4,4,82,Positive,1,0,,,Unknown,
2020-06-17 15:11:10,2020-06-17 15:16:37,0,71.172.162.234,100,327,1,2020-06-17 15:16:37,R_1j6NaCiTUccEIGp,,,,,40.71820068359375,-74.04759979248046875,anonymous,EN,xz2910,27,1,5,5,3,3,5,4,5,5,3,5,1,2,4,3,5,2,2,5,5,4,5,5,5,3,4,79,Neutral,0,0,,,Unknown,
2020-06-17 17:04:21,2020-06-17 17:14:20,0,142.255.6.135,100,598,1,2020-06-17 17:14:20,R_C1FaYwiPVYKizT3,,,,,40.8690948486328125,-73.919097900390625,anonymous,EN,bkd2115,32,3,5,3,5,3,5,3,2,3,3,5,1,2,5,5,5,2,2,5,5,4,5,5,5,5,5,79,Negative,-1,0,,,Unknown,
2020-06-17 18:17:11,2020-06-17 18:25:53,0,98.184.231.7,100,521,1,2020-06-17 18:25:53,R_1JOvIqQBbzFwPrP,,,,,33.7073974609375,-117.7053985595703125,anonymous,EN,yz3730,24,1,4,4,4,4,5,4,5,4,5,5,3,4,4,5,5,2,2,5,5,4,5,3,3,3,4,82,Positive,1,0,,,Unknown,
2020-06-17 19:08:05,2020-06-17 19:16:07,0,64.64.233.67,100,481,1,2020-06-17 19:16:07,R_2xWBHCFI2i1cJ3U,,,,,34.054901123046875,-118.2577972412109375,anonymous,EN,zc2323,23,1,4,4,3,4,2,3,4,3,3,4,3,5,3,4,5,2,2,5,5,4,5,4,4,3,3,72,Negative,-1,0,,,Unknown,
2020-06-17 19:26:24,2020-06-17 19:28:39,0,108.35.118.147,100,135,1,2020-06-17 19:28:39,R_11YmD8vHPi03WVp,,,,,40.8491973876953125,-73.97350311279296875,anonymous,EN,wz2508,22,1,2,2,2,1,1,2,2,1,2,3,2,5,4,4,5,2,2,5,5,4,5,4,3,3,2,54,Positive,1,0,,,Unknown,
2020-06-17 22:56:21,2020-06-17 23:01:20,0,72.229.98.62,100,298,1,2020-06-17 23:01:21,R_21hMxDllfdXe7Sa,,,,,40.71490478515625,-73.9893035888671875,anonymous,EN,sj2562,28,1,5,5,4,5,5,5,5,4,3,5,1,5,4,5,5,2,2,5,5,4,5,3,4,4,4,85,Neutral,0,0,,,,
2020-06-18 00:50:52,2020-06-18 00:54:00,0,76.121.186.4,100,187,1,2020-06-18 00:54:00,R_2fCeLIOjasfDpgG,,,,,47.6092071533203125,-122.11679840087890625,anonymous,EN,xc2496,23,1,5,4,2,4,5,4,5,3,3,4,1,2,3,3,5,2,2,5,5,5,5,2,3,3,2,68,,,,,,,
2020-06-18 01:56:25,2020-06-18 02:02:31,0,45.41.181.246,100,365,1,2020-06-18 02:02:31,R_2EGCOcXGr1o7Jkh,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,jc5230,23,1,4,5,3,1,5,3,5,4,4,5,2,2,5,5,5,2,2,5,5,5,5,5,5,3,3,79,,,,,,,
2020-06-17 02:14:27,2020-06-18 03:37:44,0,67.230.167.225,100,91396,1,2020-06-18 03:37:44,R_3Eo747085vyetcG,,,,,34.054901123046875,-118.2577972412109375,anonymous,EN,jj3084,24,1,3,4,3,4,5,3,4,3,4,4,3,5,3,5,5,2,2,5,4,4,5,3,4,3,3,74,,,,,,,
2020-06-18 03:38:31,2020-06-18 03:41:22,0,45.135.186.30,100,171,1,2020-06-18 03:41:22,R_0N6FVKnvLogIqxH,,,,,22.2908935546875,114.149993896484375,anonymous,EN,yx2531,24,1,4,4,3,3,4,4,4,4,4,4,1,4,4,5,5,2,2,5,5,4,5,3,4,3,4,75,,,,,,,
2020-06-18 06:31:16,2020-06-18 06:34:43,0,60.216.180.123,100,206,1,2020-06-18 06:34:43,R_2CVtUaUuhcYY5DS,,,,,36.6620941162109375,117.010406494140625,anonymous,EN,,26,2,3,3,3,4,4,4,4,4,4,3,4,5,2,2,5,2,2,5,3,3,5,3,3,3,3,67,,,,,,,
